Brand,Name,Year,Model,Transmission,Kms,Owner,Fuel Type,Registration,EMI,Price,State
Maruti,Maruti Celerio,2015,VXI CNG,Manual,38243,1,Petrol + CNG,MH-46,8006,409499,Maharashtra
Maruti,Maruti Swift Dzire,2013,VXI,Manual,68895,1,Petrol,MH-43,8758,447999,Maharashtra
Honda,Honda Brio,2012,1.2 S MT I VTEC,Manual,68941,1,Petrol,MH-03,5908,302199,Maharashtra
Honda,Honda Jazz,2016,1.2 V MT,Manual,74645,1,Petrol,MH-03,9445,483099,Maharashtra
Mahindra,Mahindra XUV500,2015,W8 FWD,Manual,68363,2,Diesel,MH-03,14428,737999,Maharashtra
Maruti,Maruti Ciaz,2016,ZXI AT,Automatic,45011,1,Petrol,MH-01,12911,660399,Maharashtra
Maruti,Maruti Alto 800,2017,VXI,Manual,21684,1,Petrol,MH-43,5783,295799,Maharashtra
Ford,Ford Ecosport,2016,1.5 TREND TI VCT,Manual,24560,1,Petrol,MH-47,11017,563499,Maharashtra
Honda,Honda Jazz,2016,1.2 S MT,Manual,53951,1,Petrol,MH-03,8737,446899,Maharashtra
Maruti,Maruti Alto K10,2018,VXI (O) AMT,Automatic,5762,1,Petrol,MH-03,7644,390999,Maharashtra
Honda,Honda Brio,2016,1.2 S MT I VTEC,Manual,19706,2,Petrol,MH-05,7198,368199,Maharashtra
Maruti,Maruti Eeco,2018,5 STR WITH AC PLUSHTR,Manual,44621,2,Petrol,MH-01,7853,401699,Maharashtra
Maruti,Maruti Celerio,2018,ZXI,Manual,7001,1,Petrol,MH-02,10186,520999,Maharashtra
Maruti,Maruti Ritz,2014,VXI,Manual,58849,1,Petrol,MH-02,7282,372499,Maharashtra
Tata,Tata Tiago,2018,XZA 1.2 REVOTRON,Automatic,18719,2,Petrol,MH-01,10238,523699,Maharashtra
Maruti,Maruti Wagon R Stingray,2016,VXI OPT,Manual,27435,1,Petrol,MH-04,8348,426999,Maharashtra
Datsun,Datsun Redi Go,2018,T (O),Manual,40174,2,Petrol,MH-12,5470,279799,Maharashtra
Tata,Tata Tiago,2017,XT 1.05 REVOTORQ,Manual,91942,2,Diesel,MH-46,8051,411799,Maharashtra
Maruti,Maruti Swift Dzire,2013,VDI,Manual,55244,1,Diesel,MH-04,10174,520399,Maharashtra
Maruti,Maruti Baleno,2019,ZETA 1.2 K12,Manual,28953,1,Petrol,MH-04,13361,683399,Maharashtra
Hyundai,Hyundai Verna,2017,FLUIDIC 1.4 VTVT,Manual,48188,1,Petrol,MH-43,12745,651899,Maharashtra
Volkswagen,Volkswagen Vento,2017,COMFORTLINE MT PETROL,Manual,64855,1,Petrol,MH-43,11259,575899,Maharashtra
Maruti,Maruti Alto 800,2016,VXI (O),Manual,13614,1,Petrol,MH-46,5969,305299,Maharashtra
Honda,Honda City,2012,V MT PETROL,Manual,87176,2,Petrol,MH-04,8250,421999,Maharashtra
Maruti,Maruti Swift,2017,VXI OPT,Manual,23307,1,Petrol,MH-05,10975,561399,Maharashtra
Maruti,Maruti Celerio,2016,ZXI AMT,Automatic,37249,1,Petrol,MH-02,9136,467299,Maharashtra
Toyota,Toyota Corolla Altis,2016,G AT,Automatic,60337,1,Petrol,MH-04,15887,845999,Maharashtra
Honda,Honda CRV,2014,2.4 AT 4WD AVN,Automatic,96699,2,Petrol,MH-02,16728,890799,Maharashtra
Maruti,Maruti Celerio,2016,VXI CNG,Manual,57454,1,Petrol + CNG,MH-02,8563,437999,Maharashtra
Maruti,Maruti Ciaz,2016,VXI,Manual,66798,1,Petrol,MH-47,12295,628899,Maharashtra
Renault,Renault Duster,2021,RXZ,Manual,28564,1,Petrol,MH-48,16514,879399,Maharashtra
Honda,Honda City,2015,VX CVT PETROL,Automatic,94440,1,Petrol,HR-26,13435,687199,Hariyana
Renault,Renault Duster,2015,85 PS RXL,Manual,80797,1,Diesel,MH-02,12080,617899,Maharashtra
KIA,KIA SELTOS,2020,HTK PLUS 1.5 DIESEL,Manual,55796,1,Diesel,MH-05,24557,1307699,Maharashtra
Maruti,Maruti Alto K10,2018,VXI,Manual,12870,1,Petrol,MH-05,6925,354199,Maharashtra
Maruti,Maruti Ciaz,2022,ALPHA 1.5 MT VTVT SHVS,Manual,188,1,Petrol,MH-02,22285,1186699,Maharashtra
Honda,Honda Jazz,2016,1.2 S MT,Manual,53015,1,Petrol,MH-03,9903,506549,Maharashtra
Maruti,Maruti Ciaz,2022,ALPHA 1.5 MT VTVT SHVS,Manual,188,1,Petrol,MH-02,22341,1189699,Maharashtra
Hyundai,Hyundai Elite i20,2015,1.4 CRDI ASTA (O),Manual,59931,1,Diesel,MH-43,12399,634199,Maharashtra
Honda,Honda Amaze,2019,1.2 SMT I VTEC,Manual,20299,1,Petrol,MH-04,13108,670499,Maharashtra
Skoda,Skoda Rapid,2020,1.6 MPI MT ACTIVE,Manual,41858,1,Petrol,MH-43,13607,695999,Maharashtra
Maruti,Maruti Swift,2017,VXI OPT,Manual,7260,1,Petrol,MH-12,11437,584999,Maharashtra
Hyundai,Hyundai Verna,2019,1.6 SX VTVT,Manual,36570,1,Petrol,MH-47,17207,916299,Maharashtra
Maruti,Maruti Ciaz,2022,1.5 ZETA VVT SHVS AT,Automatic,167,1,Petrol,MH-02,22830,1215699,Maharashtra
Maruti,Maruti Celerio,2017,VXI CNG,Manual,52013,1,Petrol + CNG,MH-47,9329,477199,Maharashtra
Hyundai,Hyundai Elite i20,2018,Magna Executive 1.2,Manual,90874,1,Petrol,MH-05,10123,517799,Maharashtra
MG,MG HECTOR,2019,SHARP DCT PETROL,Automatic,7432,2,Petrol,MH-01,26520,1412199,Maharashtra
Maruti,Maruti Celerio,2019,VXI CNG,Manual,50700,2,Petrol + CNG,MH-12,9398,480699,Maharashtra
Hyundai,Hyundai Grand i10,2017,MAGNA 1.2 VTVT,Manual,36733,1,Petrol,MH-47,8524,435999,Maharashtra
Hyundai,Hyundai AURA,2021,S CNG,Manual,8073,1,Petrol + CNG,MH-47,15624,799199,Maharashtra
Maruti,Maruti Wagon R 1.0,2014,LXI CNG,Manual,33025,1,Petrol + CNG,MH-02,7713,394499,Maharashtra
Ford,Ford Ecosport,2016,1.5 TREND TI VCT,Manual,46061,2,Petrol,MH-47,10453,534699,Maharashtra
Maruti,Maruti Dzire,2017,VDI,Manual,78254,1,Diesel,MH-02,13808,706299,Maharashtra
Hyundai,Hyundai Creta,2016,1.6 SX PLUS VTVT,Manual,40121,2,Petrol,MH-47,15819,842399,Maharashtra
Renault,Renault Kwid,2020,Neotech 1.0 EasyR,Automatic,8352,1,Petrol,MH-46,10307,527199,Maharashtra
Honda,Honda Amaze,2017,1.2 SX MT I VTEC,Manual,48147,1,Petrol,MH-02,9746,498499,Maharashtra
Maruti,Maruti Celerio,2014,VXI,Manual,46138,1,Petrol,MH-02,7149,365699,Maharashtra
Hyundai,Hyundai Xcent,2016,SX 1.2,Manual,58481,1,Petrol,MH-04,10266,525099,Maharashtra
Maruti,Maruti Swift,2017,VXI OPT,Manual,7310,1,Petrol,MH-05,11869,607099,Maharashtra
